date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
02.03.2016 23:45;Stoke;Tottenham;1;0;0.298318;1.22673;1.2146;1.8108;2015;2016-03-02_Stoke_vs_Tottenham
02.04.2016 18:00;Stoke;Crystal Palace;2;2;1.17598;1.65593;2.0941;1.3434;2015;2016-04-02_Stoke_vs_Crystal Palace
14.01.2016 0:00;Liverpool;Arsenal;3;3;1.16222;2.22912;0.6077;2.1941;2015;2016-01-14_Liverpool_vs_Arsenal
03.03.2016 0:00;Liverpool;Man City;3;0;1.16781;0.180318;2.3266;0.4029999999999999;2015;2016-03-03_Liverpool_vs_Man City
19.12.2015 19:00;Man United;Bournemouth;1;2;1.01394;1.89177;1.7428;2.3606;2015;2015-12-19_Man United_vs_Bournemouth
03.02.2016 0:00;Man United;Stoke;3;0;2.45272;0.350909;2.7784;0.1387;2015;2016-02-03_Man United_vs_Stoke
03.03.2016 0:00;Man United;Watford;1;0;0.786278;2.16484;0.4623;2.3661000000000003;2015;2016-03-03_Man United_vs_Watford
20.12.2016 0:00;Everton;Liverpool;0;1;0.456788;1.87823;0.3264;2.499;2016;2016-12-20_Everton_vs_Liverpool
15.04.2017 15:00;Everton;Hull;3;1;1.67352;1.17696;1.7351;0.7436;2016;2017-04-15_Everton_vs_Hull
06.05.2017 15:00;Bournemouth;West Brom;2;2;1.30668;0.82853;0.6498;1.1074;2016;2017-05-06_Bournemouth_vs_West Brom
13.08.2016 18:00;Southampton;Tottenham;1;1;0.937328;1.12348;2.0192;1.6417;2016;2016-08-13_Southampton_vs_Tottenham
27.08.2016 18:00;Southampton;Bournemouth;1;1;0.613743;0.974014;0.6205;0.3696;2016;2016-08-27_Southampton_vs_Bournemouth
11.12.2016 18:15;Southampton;Tottenham;1;0;1.72919;0.720341;2.4456999999999995;1.0441;2016;2016-12-11_Southampton_vs_Tottenham
29.04.2017 15:00;Southampton;West Ham;0;0;1.24844;0.65149;2.1799;0.7501;2016;2017-04-29_Southampton_vs_West Ham
04.04.2017 19:45;Leicester;West Brom;2;0;0.929134;1.48109;1.5353;2.1533;2016;2017-04-04_Leicester_vs_West Brom
15.10.2016 18:00;West Brom;Everton;1;1;1.30365;0.144498;1.3973;0.0373;2016;2016-10-15_West Brom_vs_Everton
